香港闽信保险有限公司	外资保险公司代表处	1997-3-5	请选择	
泰康人寿保险有限责任公司福建福州长乐营销服务部	保险公司－人身险	2003-9-11	营业	
泰康人寿保险有限责任公司福建莆田中心支公司	保险公司－人身险	2003-7-24	营业	
泰康人寿保险有限责任公司福建莆田江口营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建莆田涵江营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建莆田西天尾营销服务部	保险公司－人身险	2008-10-9	营业	
泰康人寿保险有限责任公司福建莆田荔城营销服务部	保险公司－人身险	2008-5-23	营业	
泰康人寿保险有限责任公司福建莆田埭头营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建莆田仙游营销服务部	保险公司－人身险	2004-11-5	营业	
泰康人寿保险有限责任公司福建三明中心支公司	保险公司－人身险	2003-7-21	营业	
泰康人寿保险有限责任公司福建三明梅列营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建三明陈大营销服务部	保险公司－人身险	2010-11-22	营业	
泰康人寿保险有限责任公司福建三明洋溪营销服务部	保险公司－人身险	2010-12-22	营业	
泰康人寿保险有限责任公司福建三明上京营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建三明大田营销服务部	保险公司－人身险	2004-4-5	营业	
泰康人寿保险有限责任公司福建三明尤溪第一营销服务部	保险公司－人身险	2008-12-17	营业	
泰康人寿保险有限责任公司福建三明沙县第一营销服务部	保险公司－人身险	2007-12-20	营业	
泰康人寿保险有限责任公司福建三明永安营销服务部	保险公司－人身险	2004-6-22	营业	
泰康人寿保险有限责任公司福建泉州中心支公司	保险公司－人身险	2003-3-31	营业	
泰康人寿保险有限责任公司福建泉州泉港营销服务部	保险公司－人身险	2004-3-3	营业	
泰康人寿保险有限责任公司福建泉州东海营销服务部	保险公司－人身险	2008-10-9	营业	
泰康人寿保险有限责任公司福建泉州晋江清濛营销服务部	保险公司－人身险	2008-10-21	营业	
泰康人寿保险有限责任公司福建泉州城东营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建泉州惠安营销服务部	保险公司－人身险	2004-2-4	营业	
泰康人寿保险有限责任公司福建泉州安溪支公司	保险公司－人身险	2009-7-10	营业	
泰康人寿保险有限责任公司福建泉州石狮营销服务部	保险公司－人身险	2004-2-4	营业	
泰康人寿保险有限责任公司福建泉州晋江英林营销服务部	保险公司－人身险	2008-4-21	营业	
泰康人寿保险有限责任公司福建泉州晋江第二营销服务部	保险公司－人身险	2008-10-16	营业	
泰康人寿保险有限责任公司福建泉州晋江金井镇营销服务部	保险公司－人身险	2010-10-8	营业	
泰康人寿保险有限责任公司福建泉州晋江营销服务部	保险公司－人身险	2003-12-15	营业	
泰康人寿保险有限责任公司福建泉州晋江龙湖营销服务部	保险公司－人身险	2003-12-15	营业	
泰康人寿保险有限责任公司福建泉州南安溪美营销服务部	保险公司－人身险	2008-10-16	营业	
泰康人寿保险有限责任公司福建泉州南安营销服务部	保险公司－人身险	2004-9-20	营业	
泰康人寿保险有限责任公司福建漳州中心支公司	保险公司－人身险	2003-4-2	营业	
泰康人寿保险有限责任公司福建漳州云霄支公司	保险公司－人身险	2009-7-10	营业	
泰康人寿保险有限责任公司福建漳州漳浦佛昙营销服务部	保险公司－人身险	2009-8-12	营业	
泰康人寿保险有限责任公司福建漳州漳浦古雷营销服务部	保险公司－人身险	2011-6-15	营业	
泰康人寿保险有限责任公司福建漳州漳浦营销服务部	保险公司－人身险	2003-12-15	营业	
泰康人寿保险有限责任公司福建漳州东山营销服务部	保险公司－人身险	2011-3-30	营业	
泰康人寿保险有限责任公司福建漳州平和营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建南平中心支公司	保险公司－人身险	2003-1-17	营业	
泰康人寿保险有限责任公司福建南平西芹营销服务部	保险公司－人身险	2008-10-16	营业	
泰康人寿保险有限责任公司福建南平安丰营销服务部	保险公司－人身险	2009-8-13	营业	
泰康人寿保险有限责任公司福建南平顺昌营销服务部	保险公司－人身险	2003-12-15	营业	
泰康人寿保险有限责任公司福建南平浦城营销服务部	保险公司－人身险	2008-4-10	营业	
泰康人寿保险有限责任公司福建南平光泽营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建南平邵武营销服务部	保险公司－人身险	2003-12-15	营业	
泰康人寿保险有限责任公司福建南平武夷山营销服务部	保险公司－人身险	2003-12-15	营业	
泰康人寿保险有限责任公司福建南平建瓯营销服务部	保险公司－人身险	2004-1-8	营业	
泰康人寿保险有限责任公司福建南平建阳营销服务部	保险公司－人身险	2004-1-8	营业	
泰康人寿保险有限责任公司福建龙岩中心支公司	保险公司－人身险	2003-7-21	营业	
泰康人寿保险有限责任公司福建龙岩雁石营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建龙岩长汀营销服务部	保险公司－人身险	2004-2-4	营业	
泰康人寿保险有限责任公司福建龙岩连城朋口营销服务部	保险公司－人身险	2008-1-17	营业	
泰康人寿保险有限责任公司福建龙岩连城营销服务部	保险公司－人身险	2004-2-4	营业	
泰康人寿保险有限责任公司福建龙岩漳平支公司	保险公司－人身险	2009-11-2	营业	
泰康人寿保险有限责任公司福建宁德中心支公司	保险公司－人身险	2003-7-19	营业	
泰康人寿保险有限责任公司福建宁德东侨营销服务部	保险公司－人身险	2008-10-16	营业	
泰康人寿保险有限责任公司福建宁德三沙营销服务部	保险公司－人身险	2008-2-15	营业	
泰康人寿保险有限责任公司福建宁德霞浦营销服务部	保险公司－人身险	2004-2-4	营业	
泰康人寿保险有限责任公司福建宁德古田营销服务部	保险公司－人身险	2004-2-4	营业	
泰康人寿保险有限责任公司福建宁德屏南支公司	保险公司－人身险	2009-9-30	营业	
泰康人寿保险有限责任公司福建宁德狮城营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建宁德柘荣营销服务部	保险公司－人身险	2008-9-26	营业	
泰康人寿保险有限责任公司福建宁德福安营销服务部	保险公司－人身险	2004-3-8	营业	
泰康人寿保险有限责任公司福建宁德福鼎营销服务部	保险公司－人身险	2004-2-4	营业	
太平人寿保险有限公司福建分公司	保险公司－人身险	2004-10-20	营业	
太平人寿保险有限公司福建分公司电话销售中心	保险公司－人身险	2014-1-2	营业	
太平人寿保险有限公司福建分公司电销营销服务部	保险公司－人身险	2008-10-16	改建	
太平人寿保险有限公司福州中心支公司	保险公司－人身险	2014-6-25	营业	
太平人寿保险有限公司福建分公司鼓楼营销服务部	保险公司－人身险	2005-6-13	营业	
太平人寿保险有限公司连江营销服务部	保险公司－人身险	2008-1-23	营业	
太平人寿保险有限公司福清支公司	保险公司－人身险	2006-5-29	营业	
太平人寿保险有限公司长乐营销服务部	保险公司－人身险	2007-5-8	营业	
太平人寿保险有限公司莆田中心支公司	保险公司－人身险	2007-12-28	营业	
太平人寿保险有限公司涵江营销服务部	保险公司－人身险	2010-6-22	营业	
太平人寿保险有限公司仙游支公司	保险公司－人身险	2016-4-7	营业	
太平人寿保险有限公司三明中心支公司	保险公司－人身险	2010-10-27	营业	
太平人寿保险有限公司永安营销服务部	保险公司－人身险	2014-12-24	营业	
太平人寿保险有限公司泉州中心支公司	保险公司－人身险	2006-7-18	营业	
太平人寿保险有限公司惠安营销服务部	保险公司－人身险	2012-8-28	营业	
太平人寿保险有限公司安溪营销服务部	保险公司－人身险	2015-2-4	营业	
太平人寿保险有限公司石狮营销服务部	保险公司－人身险	2013-12-17	营业	
太平人寿保险有限公司晋江支公司	保险公司－人身险	2007-12-28	营业	
太平人寿保险有限公司南安支公司	保险公司－人身险	2009-10-12	营业	
太平人寿保险有限公司漳州中心支公司	保险公司－人身险	2007-12-28	营业	
太平人寿保险有限公司漳浦营销服务部	保险公司－人身险	2014-11-3	营业	
太平人寿保险有限公司长泰支公司	保险公司－人身险	2017-5-31	营业	
太平人寿保险有限公司平和营销服务部	保险公司－人身险	2010-11-5	营业	
太平人寿保险有限公司南平中心支公司	保险公司－人身险	2010-9-20	营业	
太平人寿保险有限公司建阳支公司	保险公司－人身险	2017-5-31	营业	
太平人寿保险有限公司龙岩中心支公司	保险公司－人身险	2008-10-9	营业	
