香港闽信保险有限公司	外资保险公司代表处	1997-3-5	请选择	
中国人民人寿保险股份有限公司邵武市支公司	保险公司－人身险	2010-6-23	营业	
中国人民人寿保险股份有限公司武夷山市支公司	保险公司－人身险	2012-4-28	营业	
中国人民人寿保险股份有限公司南平市中心支公司建瓯市营销服务部	保险公司－人身险	2008-9-17	营业	
中国人民人寿保险股份有限公司南平市中心支公司建阳营销服务部	保险公司－人身险	2008-6-2	营业	
中国人民人寿保险股份有限公司龙岩市中心支公司	保险公司－人身险	2010-12-15	营业	
中国人民人寿保险股份有限公司龙岩市新罗支公司	保险公司－人身险	2012-9-25	营业	
中国人民人寿保险股份有限公司长汀县支公司	保险公司－人身险	2011-6-15	营业	
中国人民人寿保险股份有限公司永定县支公司	保险公司－人身险	2011-12-27	营业	
中国人民人寿保险股份有限公司上杭县支公司	保险公司－人身险	2011-7-27	营业	
中国人民人寿保险股份有限公司武平县支公司	保险公司－人身险	2012-9-24	营业	
中国人民人寿保险股份有限公司连城县支公司	保险公司－人身险	2012-5-18	营业	
中国人民人寿保险股份有限公司漳平市支公司	保险公司－人身险	2011-9-1	营业	
中国人民人寿保险股份有限公司宁德市中心支公司	保险公司－人身险	2008-1-21	营业	
中国人民人寿保险股份有限公司霞浦县支公司	保险公司－人身险	2015-5-19	营业	
中国人民人寿保险股份有限公司宁德市中心支公司古田县营销服务部	保险公司－人身险	2008-6-12	营业	
中国人民人寿保险股份有限公司福安市支公司	保险公司－人身险	2010-8-11	营业	
中国人民人寿保险股份有限公司宁德市中心支公司福鼎市营销服务部	保险公司－人身险	2008-6-13	营业	
英大泰和人寿保险股份有限公司福建分公司	保险公司－人身险	2008-4-22	营业	
英大泰和人寿保险股份有限公司福建分公司鼓楼营销服务部	保险公司－人身险	2008-7-3	营业	
英大泰和人寿保险股份有限公司福建分公司福清营销服务部	保险公司－人身险	2014-4-25	营业	
英大泰和人寿保险股份有限公司莆田中心支公司	保险公司－人身险	2017-1-25	营业	
英大泰和人寿保险股份有限公司莆田中心支公司城厢营销服务部	保险公司－人身险	2010-7-23	营业	
英大泰和人寿保险股份有限公司莆田中心支公司枫亭营销服务部	保险公司－人身险	2013-9-11	营业	
英大泰和人寿保险股份有限公司三明中心支公司	保险公司－人身险	2011-3-30	营业	
英大泰和人寿保险股份有限公司三明中心支公司将乐营销服务部	保险公司－人身险	2017-10-23	营业	
英大泰和人寿保险股份有限公司泉州中心支公司	保险公司－人身险	2008-9-27	营业	
英大泰和人寿保险股份有限公司泉州中心支公司惠安营销服务部	保险公司－人身险	2010-10-28	营业	
英大泰和人寿保险股份有限公司泉州中心支公司石狮营销服务部	保险公司－人身险	2010-2-23	营业	
英大泰和人寿保险股份有限公司泉州中心支公司晋江营销服务部	保险公司－人身险	2010-3-11	营业	
英大泰和人寿保险股份有限公司泉州中心支公司南安营销服务部	保险公司－人身险	2011-4-21	营业	
英大泰和人寿保险股份有限公司漳州中心支公司	保险公司－人身险	2010-4-16	营业	
英大泰和人寿保险股份有限公司漳州中心支公司漳浦营销服务部	保险公司－人身险	2010-12-22	营业	
英大泰和人寿保险股份有限公司漳州中心支公司诏安营销服务部	保险公司－人身险	2014-12-24	营业	
英大泰和人寿保险股份有限公司南平中心支公司	保险公司－人身险	2011-8-8	营业	
英大泰和人寿保险股份有限公司南平中心支公司建阳营销服务部	保险公司－人身险	2017-5-17	营业	
泰康养老保险股份有限公司福建分公司	保险公司－人身险	2012-4-5	营业	
幸福人寿保险股份有限公司福建分公司	保险公司－人身险	2009-10-22	营业	
幸福人寿保险股份有限公司福建分公司福清支公司	保险公司－人身险	2010-3-24	营业	
幸福人寿保险股份有限公司泉州中心支公司	保险公司－人身险	2010-8-3	营业	
幸福人寿保险股份有限公司泉州中心支公司石狮支公司	保险公司－人身险	2016-7-5	营业	
幸福人寿保险股份有限公司泉州中心支公司晋江营销服务部	保险公司－人身险	2012-5-4	营业	
幸福人寿保险股份有限公司泉州中心支公司南安营销服务部	保险公司－人身险	2012-7-12	营业	
幸福人寿保险股份有限公司漳州中心支公司	保险公司－人身险	2012-7-12	营业	
幸福人寿保险股份有限公司宁德中心支公司	保险公司－人身险	2011-10-25	营业	
阳光人寿保险股份有限公司福建分公司	保险公司－人身险	2010-11-16	营业	
阳光人寿保险股份有限公司福建分公司连江营销服务部	保险公司－人身险	2013-10-14	营业	
阳光人寿保险股份有限公司福建分公司闽清营销服务部	保险公司－人身险	2017-6-1	营业	
阳光人寿保险股份有限公司福建分公司平潭营销服务部	保险公司－人身险	2012-12-17	营业	
阳光人寿保险股份有限公司福建分公司福清营销服务部	保险公司－人身险	2011-8-19	营业	
阳光人寿保险股份有限公司福建分公司长乐营销服务部	保险公司－人身险	2012-12-17	营业	
阳光人寿保险股份有限公司莆田中心支公司	保险公司－人身险	2012-12-18	营业	
阳光人寿保险股份有限公司莆田中心支公司涵江营销服务部	保险公司－人身险	2013-12-25	营业	
阳光人寿保险股份有限公司莆田中心支公司荔城营销服务部	保险公司－人身险	2016-10-26	营业	
阳光人寿保险股份有限公司莆田中心支公司仙游营销服务部	保险公司－人身险	2015-9-17	营业	
阳光人寿保险股份有限公司泉州中心支公司	保险公司－人身险	2011-9-7	营业	
阳光人寿保险股份有限公司泉州中心支公司晋江营销服务部	保险公司－人身险	2012-11-1	营业	
阳光人寿保险股份有限公司泉州中心支公司南安营销服务部	保险公司－人身险	2013-8-9	营业	
阳光人寿保险股份有限公司泉州中心支公司官桥营销服务部	保险公司－人身险	2016-10-18	营业	
阳光人寿保险股份有限公司漳州中心支公司	保险公司－人身险	2012-3-6	营业	
阳光人寿保险股份有限公司漳州中心支公司漳浦营销服务部	保险公司－人身险	2013-5-14	营业	
阳光人寿保险股份有限公司宁德中心支公司	保险公司－人身险	2016-9-7	营业	
君龙人寿保险有限公司福建分公司	保险公司－人身险	2009-12-1	营业	
君龙人寿保险有限公司福建分公司泉州营销服务部	保险公司－人身险	2010-8-3	营业	
君龙人寿保险有限公司福建分公司晋江营销服务部	保险公司－人身险	2012-12-4	营业	
君龙人寿保险有限公司福建分公司漳州营销服务部	保险公司－人身险	2010-10-8	营业	
君龙人寿保险有限公司福建分公司漳州东山营销服务部	保险公司－人身险	2013-2-6	营业	
百年人寿保险股份有限公司福建分公司	保险公司－人身险	2011-11-22	营业	
百年人寿保险股份有限公司罗源支公司	保险公司－人身险	2012-11-1	营业	
百年人寿保险股份有限公司福州鼓楼支公司	保险公司－人身险	2018-3-30	营业	
百年人寿保险股份有限公司连江支公司	保险公司－人身险	2013-2-6	营业	
百年人寿保险股份有限公司福清支公司	保险公司－人身险	2013-11-22	营业	
百年人寿保险股份有限公司福建分公司漳港营销服务部	保险公司－人身险	2013-4-16	营业	
百年人寿保险股份有限公司泉州中心支公司	保险公司－人身险	2012-9-20	营业	
百年人寿保险股份有限公司惠安支公司	保险公司－人身险	2016-12-7	营业	
百年人寿保险股份有限公司石狮支公司	保险公司－人身险	2013-10-25	营业	
百年人寿保险股份有限公司晋江支公司	保险公司－人身险	2014-7-24	营业	
百年人寿保险股份有限公司漳州中心支公司	保险公司－人身险	2013-7-10	营业	
百年人寿保险股份有限公司漳浦支公司	保险公司－人身险	2013-12-24	营业	
百年人寿保险股份有限公司东山支公司	保险公司－人身险	2014-12-11	营业	
百年人寿保险股份有限公司龙岩中心支公司	保险公司－人身险	2016-6-22	营业	
百年人寿保险股份有限公司宁德中心支公司	保险公司－人身险	2014-11-12	营业	
百年人寿保险股份有限公司霞浦支公司	保险公司－人身险	2016-12-20	营业	
百年人寿保险股份有限公司福安支公司	保险公司－人身险	2015-9-2	营业	
百年人寿保险股份有限公司福鼎支公司	保险公司－人身险	2018-6-19	营业	
福建上杭农村商业银行股份有限公司中都支行	 	未知	 	
福建上杭农村商业银行股份有限公司丘坊支行	 	未知	 	
福建上杭农村商业银行股份有限公司下都支行	 	未知	 	
福建上杭农村商业银行股份有限公司	 	未知	 	
福建三明锦田汽车贸易有限公司	 	未知	 	
福建三明汇众汽车运输有限公司	 	未知	 	
福建三明市路路通汽车销售服务有限公司	 	未知	 	
福建三明市路路兴汽车销售服务有限公司	 	未知	 	
福建三明市原林汽车销售服务有限公司	 	未知	 	
福建三明农村商业银行股份有限公司陈大支行	 	未知	 	
福建三明农村商业银行股份有限公司钢都支行	 	未知	 	
福建三明农村商业银行股份有限公司莘口支行	 	未知	 	
福建三明农村商业银行股份有限公司荆东支行	 	未知	 	
福建三明农村商业银行股份有限公司红杏支行	 	未知	 	
福建三明农村商业银行股份有限公司洋溪支行	 	未知	 	
福建三明农村商业银行股份有限公司沙县支行	 	未知	 	
福建三明农村商业银行股份有限公司永安支行	 	未知	 	
福建三明农村商业银行股份有限公司梅城支行	 	未知	 	
福建三明农村商业银行股份有限公司梅列支行	 	未知	 	
福建三明农村商业银行股份有限公司杜水分理处	 	未知	 	
福建三明农村商业银行股份有限公司星桥分理处	 	未知	 	
福建三明农村商业银行股份有限公司徐碧支行	 	未知	 	
福建三明农村商业银行股份有限公司岩前支行	 	未知	 	
福建三明农村商业银行股份有限公司城关支行	 	未知	 	
福建三明农村商业银行股份有限公司吉口分理处	 	未知	 	
福建三明农村商业银行股份有限公司列西支行	 	未知	 	
福建三明农村商业银行股份有限公司列东支行	 	未知	 	
福建三明农村商业银行股份有限公司五一支行	 	未知	 	
福建三明农村商业银行股份有限公司中村支行	 	未知	 	
福建三明农村商业银行股份有限公司三元支行	 	未知	 	
福建三明农村商业银行股份有限公司	 	未知	 	
福州龙益汽车销售服务有限公司	 	未知	 	
福州顺顺新店机动车安全检测有限公司	 	未知	 	
福州雄峰汽车维修服务有限公司	 	未知	 	
福州闽鑫福汽车服务有限公司	 	未知	 	
福州长明汽车销售服务有限公司	 	未知	 	
福州长安汽车销售有限公司	 	未知	 	
福州锦昌机械有限公司	 	未知	 	
福州金洋汽车贸易有限公司	 	未知	 	
福州金洋悦达维修有限公司	 	未知	 	
福州路友机动车检测有限公司	 	未知	 	
福州致远汽车销售服务有限公司	 	未知	 	
福州联胜联众汽车销售有限公司	 	未知	 	
福州盈众汽车有限公司	 	未知	 	
福州玖玖丰田汽车销售服务有限公司福清分公司	 	未知	 	
福州玖玖丰田汽车销售服务有限公司	 	未知	 	
福州泰达汽车服务有限公司	 	未知	 	
福州江铃全顺汽车销售服务有限公司	 	未知	 	
福州汇英才劳务派遣服务有限公司	 	未知	 	
福州汇京福瑞汽车贸易有限公司	 	未知	 	
福州永达汽车销售服务有限公司	 	未知	 	
福州永恒畅汽车贸易有限公司	 	未知	 	
福州永力通汽车贸易有限公司	 	未知	 	
福州新金生汽车有限公司	 	未知	 	
福州建州物流有限公司	 	未知	 	
福州建发汽车销售服务有限公司	 	未知	 	
福州市汇诚汽车服务有限公司	 	未知	 	
福州巨驰车业有限公司	 	未知	 	
福州宾联汽车服务有限公司	 	未知	 	
福州宝马汽车服务有限公司	 	未知	 	
福州大邦通商汽车服务有限公司	 	未知	 	
福州大有铜众汽车维修服务站	 	未知	 	
福州嘉利德斯汽车贸易有限公司	 	未知	 	
福州名星汽车销售服务有限公司	 	未知	 	
福州吉诺车辆检测有限公司	 	未知	 	
福州吉诺中迪汽车有限公司	 	未知	 	
福州台江区康达票务代理有限公司	 	未知	 	
福州华物机电设备有限公司	 	未知	 	
福州华物实业（集团）有限公司	 	未知	 	
福州前横中升丰田汽车销售服务有限公司	 	未知	 	
福州信达诺汽车销售服务有限公司	 	未知	 	
福州众大汽车服务有限公司	 	未知	 	
福州亿达运输有限公司	 	未知	 	
福州亚飞汽车（通用）销售有限公司	 	未知	 	
福州五菱汽车配件制造有限公司	 	未知	 	
福州之星汽车贸易有限公司	 	未知	 	
福州中诺汽车有限公司	 	未知	 	
福州中宝汽车销售服务有限公司	 	未知	 	
福州中升雷克萨斯汽车销售服务有限公司	 	未知	 	
福州中升福裕汽车销售服务有限公司	 	未知	 	
福州中升福瑞汽车销售服务有限公司	 	未知	 	
福州中升福新汽车销售服务有限公司	 	未知	 	
福州中升丰田汽车销售有限公司	 	未知	 	
福州世腾汽车销售服务有限公司	 	未知	 	
福州世纪兴汽车贸易有限公司	 	未知	 	
福州万商汽车服务有限公司	 	未知	 	
福安市邮政局	 	未知	 	
福安市远盛汽车贸易有限公司	 	未知	 	
福安市畲族经济开发区恒通运输有限公司	 	未知	 	
福安市农村信用合作联社阳头信用社	 	未知	 	
福安市农村信用合作联社金山信用社	 	未知	 	
福安市农村信用合作联社赛江信用社	 	未知	 	
福安市农村信用合作联社赛岐信用社	 	未知	 	
福安市农村信用合作联社范坑信用社	 	未知	 	
福安市农村信用合作联社群益信用社	 	未知	 	
福安市农村信用合作联社穆阳信用社	 	未知	 	
福安市农村信用合作联社秦溪洋信用社	 	未知	 	
福安市农村信用合作联社社口信用社	 	未知	 	
福安市农村信用合作联社甘棠信用社	 	未知	 	
福安市农村信用合作联社潭头信用社	 	未知	 	
福安市农村信用合作联社溪潭信用社	 	未知	 	
福安市农村信用合作联社溪柄信用社	 	未知	 	
福安市农村信用合作联社溪尾信用社	 	未知	 	
福安市农村信用合作联社湾坞信用社	 	未知	 	
福安市农村信用合作联社松罗信用社	 	未知	 	
福安市农村信用合作联社晓阳信用社	 	未知	 	
福安市农村信用合作联社新华信用社	 	未知	 	
福安市农村信用合作联社康厝信用社	 	未知	 	
福安市农村信用合作联社官村信用社	 	未知	 	
福安市农村信用合作联社城阳信用社	 	未知	 	
福安市农村信用合作联社城北信用社	 	未知	 	
福安市农村信用合作联社城关信用社	 	未知	 	
福安市农村信用合作联社坂中信用社	 	未知	 	
福安市农村信用合作联社下白石信用社	 	未知	 	
福安市农村信用合作联社上白石信用社	 	未知	 	
福安市农村信用合作联社	 	未知	 	
福安市中远商贸有限公司	 	未知	 	
福安市中达汽车贸易有限公司	 	未知	 	
石狮市闽南机动车安全技术检测有限公司	 	未知	 	
石狮市邮政局	 	未知	 	
漳浦民生村镇银行股份有限公司	 	未知	 	
漳浦县邮政局	 	未知	 	
漳浦县远东汽车运输有限公司	 	未知	 	
漳浦县恒昌汽车贸易有限公司	 	未知	 	
漳浦县安利达汽车贸易有限公司	 	未知	 	
漳浦县农村信用合作联社龙泉分社	 	未知	 	
漳浦县农村信用合作联社麦市街分社	 	未知	 	
漳浦县农村信用合作联社马坪信用社	 	未知	 	
漳浦县农村信用合作联社霞美信用社	 	未知	 	
漳浦县农村信用合作联社长桥分社	 	未知	 	
漳浦县农村信用合作联社赤湖信用社	 	未知	 	
漳浦县农村信用合作联社赤岭信用社	 	未知	 	
漳浦县农村信用合作联社赤土信用社	 	未知	 	
漳浦县农村信用合作联社象牙分社	 	未知	 	
漳浦县农村信用合作联社绥西信用社	 	未知	 	
漳浦县农村信用合作联社绥安信用社	 	未知	 	
漳浦县农村信用合作联社竹屿信用社	 	未知	 	
漳浦县农村信用合作联社石榴信用社	 	未知	 	
漳浦县农村信用合作联社盘陀信用社	 	未知	 	
漳浦县农村信用合作联社湖西信用社	 	未知	 	
漳浦县农村信用合作联社深土信用社	 	未知	 	
漳浦县农村信用合作联社沙西信用社	 	未知	 	
漳浦县农村信用合作联社杜浔信用社	 	未知	 	
漳浦县农村信用合作联社旧镇信用社	 	未知	 	
漳浦县农村信用合作联社官浔信用社	 	未知	 	
漳浦县农村信用合作联社大南坂分社	 	未知	 	
漳浦县农村信用合作联社城关信用社	 	未知	 	
漳浦县农村信用合作联社古雷信用社	 	未知	 	
漳浦县农村信用合作联社南浦分社	 	未知	 	
漳浦县农村信用合作联社六鳌分社	 	未知	 	
漳浦县农村信用合作联社佛昙信用社	 	未知	 	
漳浦县农村信用合作联社	 	未知	 	
漳浦县信达汽车运输有限公司	 	未知	 	
漳平市邮政局	 	未知	 	
漳平市名仕汽车服务有限公司	 	未知	 	
漳平市农村信用合作联社麦园信用社	 	未知	 	
漳平市农村信用合作联社赤水信用社	 	未知	 	
漳平市农村信用合作联社象湖信用社	 	未知	 	
漳平市农村信用合作联社西园信用社	 	未知	 	
漳平市农村信用合作联社菁城信用社	 	未知	 	
漳平市农村信用合作联社芦芝信用社	 	未知	 	
漳平市农村信用合作联社盛菁信用社	 	未知	 	
漳平市农村信用合作联社灵地信用社	 	未知	 	
漳平市农村信用合作联社溪南信用社	 	未知	 	
漳平市农村信用合作联社永福信用社	 	未知	 	
漳平市农村信用合作联社桂林信用社	 	未知	 	
漳平市农村信用合作联社新桥信用社	 	未知	 	
漳平市农村信用合作联社拱桥信用社	 	未知	 	
漳平市农村信用合作联社少海信用社	 	未知	 	
漳平市农村信用合作联社官田信用社	 	未知	 	
漳平市农村信用合作联社大深信用社	 	未知	 	
漳平市农村信用合作联社和平信用社	 	未知	 	
漳平市农村信用合作联社吾祠信用社	 	未知	 	
漳平市农村信用合作联社双洋信用社	 	未知	 	
漳平市农村信用合作联社南洋信用社	 	未知	 	
漳平市农村信用合作联社凯源信用社	 	未知	 	
漳平市农村信用合作联社万城信用社	 	未知	 	
漳平市农村信用合作联社	 	未知	 	
漳州飞鸿汽车销售服务有限公司	 	未知	 	
漳州通海新世纪汽车有限公司	 	未知	 	
漳州致和汽车有限公司	 	未知	 	
漳州聚力汽车销售服务有限公司	 	未知	 	
漳州盛元丰田汽车销售服务有限公司	 	未知	 	
漳州盈众致远汽车销售有限公司	 	未知	 	
漳州盈众汽车销售服务有限公司	 	未知	 	
漳州捷诚汽车销售服务有限公司	 	未知	 	
漳州捷维汽车修配有限公司	 	未知	 	
漳州恒驰汽车贸易有限公司	 	未知	 	
漳州市通海汽车销售服务有限公司	 	未知	 	
漳州市立昌汽车服务有限公司	 	未知	 	
漳州市永利汽车贸易有限公司	 	未知	 	
漳州市方正源汽车贸易有限公司	 	未知	 	
漳州市建联汽车贸易有限公司	 	未知	 	
漳州市康达汽车销售服务有限公司	 	未知	 	
漳州市南龙汽车贸易有限公司	 	未知	 	
漳州市华骏福元汽车销售服务有限公司	 	未知	 	
漳州市华骏汽车销售服务有限公司	 	未知	 	
漳州市华业贸易有限公司	 	未知	 	
漳州市兴鑫汽车销售有限公司	 	未知	 	
漳州市信志汽车维修有限公司	 	未知	 	
漳州市二手车交易市场有限公司	 	未知	 	
漳州市中宝汽车销售有限公司	 	未知	 	
漳州市万盛达汽车经贸有限公司	 	未知	 	
漳州市万国汽车销售服务有限公司	 	未知	 	
漳州吉兴汽车销售有限公司	 	未知	 	
漳州中国旅行社	 	未知	 	
清流县邮政局	 	未知	 	
清流县利民机动车检测有限责任公司	 	未知	 	
清流县农村信用合作联社龙津信用社	 	未知	 	
清流县农村信用合作联社长校信用社	 	未知	 	
清流县农村信用合作联社里田信用社	 	未知	 	
清流县农村信用合作联社邓家信用社	 	未知	 	
清流县农村信用合作联社赖坊信用社	 	未知	 	
清流县农村信用合作联社西坪信用社	 	未知	 	
清流县农村信用合作联社田源信用社	 	未知	 	
清流县农村信用合作联社灵地信用社	 	未知	 	
清流县农村信用合作联社沙芜信用社	 	未知	 	
清流县农村信用合作联社林畲信用社	 	未知	 	
清流县农村信用合作联社李家信用社	 	未知	 	
清流县农村信用合作联社嵩溪信用社	 	未知	 	
清流县农村信用合作联社嵩口信用社	 	未知	 	
清流县农村信用合作联社城关信用社	 	未知	 	
清流县农村信用合作联社余朋信用社	 	未知	 	
清流县农村信用合作联社	 	未知	 	
浦城县邮政局管厝邮电支局	 	未知	 	
浦城县邮政局永兴邮电支局	 	未知	 	
浦城县邮政局水南邮储专柜	 	未知	 	
浦城县邮政局水北邮电支局	 	未知	 	
浦城县邮政局山下邮电支局	 	未知	 	
浦城县邮政局城西邮储专柜	 	未知	 	
浦城县邮政局古楼邮电支局	 	未知	 	
浦城县邮政局仙楼邮储专柜	 	未知	 	
浦城县邮政局九牧邮电支局	 	未知	 	
浦城县邮政局临江邮电支局	 	未知	 	
浦城县邮政局七星桥邮储专柜	 	未知	 	
浦城县邮政局	 	未知	 	
浦城县红光汽车发展有限公司	 	未知	 	
浦城县农村信用合作联社莲塘分社	 	未知	 	
浦城县农村信用合作联社管厝信用社	 	未知	 	
浦城县农村信用合作联社石陂信用社	 	未知	 	
浦城县农村信用合作联社盘亭信用社	 	未知	 	
浦城县农村信用合作联社濠村信用社	 	未知	 	
浦城县农村信用合作联社永兴信用社	 	未知	 	
浦城县农村信用合作联社水北信用社	 	未知	 	
浦城县农村信用合作联社枫溪分社	 	未知	 	
浦城县农村信用合作联社忠信信用社	 	未知	 	
浦城县农村信用合作联社山下信用社	 	未知	 	
浦城县农村信用合作联社富岭信用社	 	未知	 	
浦城县农村信用合作联社官路信用社	 	未知	 	
浦城县农村信用合作联社城郊信用社	 	未知	 	
浦城县农村信用合作联社城关信用社	 	未知	 	
浦城县农村信用合作联社古楼信用社	 	未知	 	
浦城县农村信用合作联社仙阳信用社	 	未知	 	
浦城县农村信用合作联社九牧信用社	 	未知	 	
浦城县农村信用合作联社临江信用社	 	未知	 	
浦城县农村信用合作联社	 	未知	 	
浙江稠州商业银行股份有限公司福州分行	 	未知	 	
泰康养老保险股份有限公司福建分公司	 	未知	 	
泰康人寿保险股份有限公司福建分公司	 	未知	 	
泰宁县邮政局	 	未知	 	
泰宁县农村信用合作联社龙湖信用社	 	未知	 	
泰宁县农村信用合作联社金湖信用社	 	未知	 	
泰宁县农村信用合作联社梅口信用社	 	未知	 	
泰宁县农村信用合作联社杉城信用社	 	未知	 	
泰宁县农村信用合作联社朱口信用社	 	未知	 	
泰宁县农村信用合作联社新桥信用社	 	未知	 	
泰宁县农村信用合作联社开善信用社	 	未知	 	
泰宁县农村信用合作联社市融信用社	 	未知	 	
泰宁县农村信用合作联社大田信用社	 	未知	 	
泰宁县农村信用合作联社大布信用社	 	未知	 	
泰宁县农村信用合作联社下渠信用社	 	未知	 	
泰宁县农村信用合作联社上青信用社	 	未知	 	
泰宁县农村信用合作联社	 	未知	 	
泉州鸿景汽车销售服务有限公司	 	未知	 	
泉州银行股份有限公司鲤城支行	 	未知	 	
泉州银行股份有限公司石狮支行	 	未知	 	
泉州银行股份有限公司石狮凤里支行	 	未知	 	
泉州银行股份有限公司百源支行	 	未知	 	
泉州银行股份有限公司田安支行	 	未知	 	
泉州银行股份有限公司漳州角美支行	 	未知	 	
泉州银行股份有限公司漳州分行	 	未知	 	
泉州银行股份有限公司海信支行	 	未知	 	
泉州银行股份有限公司洛江支行	 	未知	 	
泉州银行股份有限公司泉秀支行	 	未知	 	
泉州银行股份有限公司江南支行	 	未知	 	
泉州银行股份有限公司永春支行	 	未知	 	
泉州银行股份有限公司晋江青阳支行	 	未知	 	
泉州银行股份有限公司晋江英林支行	 	未知	 	
泉州银行股份有限公司晋江罗山支行	 	未知	 	
泉州银行股份有限公司晋江池店支行	 	未知	 	
泉州银行股份有限公司晋江支行	 	未知	 	
泉州银行股份有限公司晋江安海支行	 	未知	 	
泉州银行股份有限公司新门支行	 	未知	 	
泉州银行股份有限公司成洲支行	 	未知	 	
泉州银行股份有限公司惠安支行	 	未知	 	
泉州银行股份有限公司德化支行	 	未知	 	
泉州银行股份有限公司开元支行	 	未知	 	
泉州银行股份有限公司安溪支行	 	未知	 	
泉州银行股份有限公司圣湖支行	 	未知	 	
泉州银行股份有限公司台商投资区支行	 	未知	 	
泉州银行股份有限公司南安洪濑支行	 	未知	 	
泉州银行股份有限公司南安水头支行	 	未知	 	
泉州银行股份有限公司南安支行	 	未知	 	
泉州银行股份有限公司南安官桥支行	 	未知	 	
泉州银行股份有限公司刺桐支行	 	未知	 	
泉州银行股份有限公司丰泽支行	 	未知	 	
泉州银行股份有限公司东海支行	 	未知	 	
泉州银行股份有限公司	 	未知	 	
泉州鑫达汽车销售服务有限公司	 	未知	 	
泉州鑫海汽车销售服务有限公司	 	未知	 	
泉州通海汽车销售服务有限公司	 	未知	 	
泉州通海新世纪汽车有限公司	 	未知	 	
泉州诚毅摩托车检测有限公司	 	未知	 	
泉州美东丰田汽车销售服务有限公司	 	未知	 	
泉州福景汽车销售服务有限公司	 	未知	 	
泉州福宝汽车销售服务有限公司	 	未知	 	
泉州祥景汽车销售服务有限公司	 	未知	 	
泉州盛田汽车有限公司	 	未知	 	
泉州益成汽车贸易发展有限公司	 	未知	 	
泉州盈众福海汽车销售有限公司	 	未知	 	
泉州盈众润和汽车销售有限公司	 	未知	 	
泉州盈众汽车销售服务有限公司	 	未知	 	
泉州泰成致尊汽车服务有限公司	 	未知	 	
泉州泰成恒源汽车服务有限公司	 	未知	 	
泉州汇京和丰汽车销售有限公司	 	未知	 	
泉州汇京友联汽车销售有限公司	 	未知	 	
泉州晋宝汽车销售服务有限公司	 	未知	 	
泉州建发汽车销售服务有限公司	 	未知	 	
泉州市鸿海汽车贸易有限公司	 	未知	 	
泉州市风鹏汽车销售有限公司	 	未知	 	
泉州市顺源汽车贸易有限公司	 	未知	 	
泉州市泉肖汽车运输有限公司	 	未知	 	
泉州市汽车运输总公司惠安公司	 	未知	 	
泉州市汽车运输总公司德化公司	 	未知	 	
泉州市汽车运输总公司安溪公司	 	未知	 	
泉州市汽车运输总公司南安公司	 	未知	 	
泉州市汇京银河汽车贸易有限公司	 	未知	 	
泉州市汇京亿兴汽车服务有限公司	 	未知	 	
泉州市新鑫汽车销售有限公司	 	未知	 	
泉州市奔腾汽车销售有限公司	 	未知	 	
泉州市大长江丰田汽车销售服务有限公司	 	未知	 	
泉州市华友汽车销售有限公司	 	未知	 	
泉州市亿鑫汽车销售有限公司	 	未知	 	
泉州市中一汽车技术安全检测有限公司	 	未知	 	
泉州宾联雷克萨斯汽车销售服务有限公司	 	未知	 	
泉州宾联丰田汽车服务有限公司	 	未知	 	
泉州安顺机动车安全技术检测有限公司	 	未知	 	
泉州大众汽车销售服务有限公司	 	未知	 	
泉州国骏汽车销售服务有限公司	 	未知	 	
泉州华腾汽车销售服务有限公司	 	未知	 	
泉州华奥汽车销售服务有限公司	 	未知	 	
泉州农村商业银行股份有限公司鲤城支行	 	未知	 	
泉州农村商业银行股份有限公司驿坂支行	 	未知	 	
泉州农村商业银行股份有限公司马甲支行	 	未知	 	
泉州农村商业银行股份有限公司锦祥支行	 	未知	 	
泉州农村商业银行股份有限公司钢贸城支行	 	未知	 	
泉州农村商业银行股份有限公司金典支行	 	未知	 	
泉州农村商业银行股份有限公司见龙亭支行	 	未知	 	
泉州农村商业银行股份有限公司虹山分理处	 	未知	 	
泉州农村商业银行股份有限公司莲田支行	 	未知	 	
泉州农村商业银行股份有限公司芳草园支行	 	未知	 	
泉州农村商业银行股份有限公司群山支行	 	未知	 	
泉州农村商业银行股份有限公司罗溪支行	 	未知	 	
泉州农村商业银行股份有限公司经济技术开发区支行	 	未知	 	
泉州农村商业银行股份有限公司界山支行	 	未知	 	
泉州农村商业银行股份有限公司玉霞支行	 	未知	 	
泉州农村商业银行股份有限公司涂岭支行	 	未知	 	
泉州农村商业银行股份有限公司海峡支行	 	未知	 	
泉州农村商业银行股份有限公司津淮支行	 	未知	 	
泉州农村商业银行股份有限公司洛江支行	 	未知	 	
泉州农村商业银行股份有限公司泉秀支行	 	未知	 	
泉州农村商业银行股份有限公司泉港支行	 	未知	 	
泉州农村商业银行股份有限公司河市支行	 	未知	 	
泉州农村商业银行股份有限公司江南支行	 	未知	 	
泉州农村商业银行股份有限公司普星支行	 	未知	 	
泉州农村商业银行股份有限公司惠安县支行	 	未知	 	
泉州农村商业银行股份有限公司德化县支行	 	未知	 	
泉州农村商业银行股份有限公司峰尾支行	 	未知	 	
泉州农村商业银行股份有限公司山腰支行	 	未知	 	
泉州农村商业银行股份有限公司宝洲支行	 	未知	 	
泉州农村商业银行股份有限公司安溪县支行	 	未知	 	
泉州农村商业银行股份有限公司城东支行	 	未知	 	
泉州农村商业银行股份有限公司坂头支行	 	未知	 	
泉州农村商业银行股份有限公司后渚支行	 	未知	 	
