中国建设银行股份有限公司沈阳滑凌支行	银行	未知	延续	
中国建设银行股份有限公司沈阳滂江分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳湘江支行	银行	未知	延续	
中国建设银行股份有限公司沈阳淮河支行	银行	未知	延续	
中国建设银行股份有限公司沈阳浑南新区产业园分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳浑南支行	银行	未知	延续	
中国建设银行股份有限公司沈阳浑南中路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳浑南东路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳泾河支行	银行	未知	延续	
中国建设银行股份有限公司沈阳泰莱支行	银行	未知	申请	
中国建设银行股份有限公司沈阳法库支行	银行	未知	延续	
中国建设银行股份有限公司沈阳河畔分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳沈辽路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳沈营路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳沈海支行	银行	未知	延续	
中国建设银行股份有限公司沈阳沈大支行	银行	未知	延续	
中国建设银行股份有限公司沈阳沈南支行	银行	未知	延续	
中国建设银行股份有限公司沈阳沈北新区支行	银行	未知	延续	
中国建设银行股份有限公司沈阳沈中支行	银行	未知	延续	
中国建设银行股份有限公司沈阳汽车城支行	银行	未知	延续	
中国建设银行股份有限公司沈阳汇金分理处	银行	未知	申请	
中国建设银行股份有限公司沈阳永善里支行	银行	未知	延续	
中国建设银行股份有限公司沈阳民族分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳民主分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳正阳支行	银行	未知	延续	
中国建设银行股份有限公司沈阳桂林支行	银行	未知	延续	
中国建设银行股份有限公司沈阳格林自由城分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳方圆支行	银行	未知	延续	
中国建设银行股份有限公司沈阳新广支行	银行	未知	延续	
中国建设银行股份有限公司沈阳新兴支行	银行	未知	延续	
中国建设银行股份有限公司沈阳文艺路分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳文化路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳文化东路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳振兴分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳怒江支行	银行	未知	延续	
中国建设银行股份有限公司沈阳彩霞街支行	银行	未知	延续	
中国建设银行股份有限公司沈阳彩塔支行	银行	未知	延续	
中国建设银行股份有限公司沈阳建新支行	银行	未知	延续	
中国建设银行股份有限公司沈阳广宜支行	银行	未知	延续	
中国建设银行股份有限公司沈阳崇宁支行	银行	未知	延续	
中国建设银行股份有限公司沈阳岐山支行	银行	未知	延续	
中国建设银行股份有限公司沈阳小西支行	银行	未知	延续	
中国建设银行股份有限公司沈阳小河沿分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳富通分理处	银行	未知	申请	
中国建设银行股份有限公司沈阳宜春支行	银行	未知	延续	
中国建设银行股份有限公司沈阳宁山支行	银行	未知	延续	
中国建设银行股份有限公司沈阳奥体支行	银行	未知	延续	
中国建设银行股份有限公司沈阳天龙支行	银行	未知	延续	
中国建设银行股份有限公司沈阳天后宫分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳天光支行	银行	未知	延续	
中国建设银行股份有限公司沈阳大西支行	银行	未知	延续	
中国建设银行股份有限公司沈阳大南支行	银行	未知	延续	
中国建设银行股份有限公司沈阳大东支行	银行	未知	延续	
中国建设银行股份有限公司沈阳塔柏路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳城建支行	银行	未知	延续	
中国建设银行股份有限公司沈阳城内支行	银行	未知	延续	
中国建设银行股份有限公司沈阳四季花城分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳和平支行	银行	未知	延续	
中国建设银行股份有限公司沈阳和平大街支行	银行	未知	延续	
中国建设银行股份有限公司沈阳和平北大街支行	银行	未知	延续	
中国建设银行股份有限公司沈阳启工支行	银行	未知	延续	
中国建设银行股份有限公司沈阳吉隆支行	银行	未知	延续	
中国建设银行股份有限公司沈阳南宁储蓄所	银行	未知	延续	
中国建设银行股份有限公司沈阳南塔支行	银行	未知	延续	
中国建设银行股份有限公司沈阳南京街储蓄所	银行	未知	延续	
中国建设银行股份有限公司沈阳华兴支行	银行	未知	延续	
中国建设银行股份有限公司沈阳十路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳十二路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳北站装饰城分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳北站开发区支行	银行	未知	延续	
中国建设银行股份有限公司沈阳北市分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳北一路支行	银行	未知	延续	
中国建设银行股份有限公司沈阳凌空支行	银行	未知	延续	
中国建设银行股份有限公司沈阳农大支行	银行	未知	延续	
中国建设银行股份有限公司沈阳军区总院储蓄所	银行	未知	延续	
中国建设银行股份有限公司沈阳兴顺分理处	银行	未知	延续	
中国建设银行股份有限公司沈阳兴房支行	银行	未知	延续	
中国建设银行股份有限公司沈阳八王寺街支行	银行	未知	延续	
中国建设银行股份有限公司沈阳保工支行	银行	未知	延续	
中国建设银行股份有限公司沈阳体院支行	银行	未知	延续	
